Symbol,Last,Net Chg,Net Chg %,IV Rank,Volume,Beta,Div Yld,Corr SPY,Liquidity,IV Idx,Name,Exchg,Earnings At
GDX,33.99,0.00,0.00%,17.6,309K,0.72,2.23%,0.03,★★★★,39.1%,VanEck Vectors ETF Trust ETF Trust Gold Miners ETF,ARCX,
GDXJ,41.01,0.06,0.15%,27.5,36.5K,1.02,2.52%,0.02,★★★☆,45.2%,MARKET VECTORS ETF TR JR GOLD MINERS ETF NEW,ARCX,
GILD,82.60,0.00,0.00%,46.2,1.18K,0.38,4.42%,0.27,★★★☆,30.4%,Gilead Sciences Inc,NASDAQ,Apr 27
GLD,185.13,0.02,0.01%,50.9,41.9K,0.14,,-0.21,★★★★,18.7%,SPDR GOLD TR GOLD SHS,ARCX,
GM,35.73,0.01,0.01%,38.9,27.1K,1.40,0.28%,0.63,★★★★,46.1%,General Motors Co,NYSE,Apr 25
GME,22.37,0.00,0.00%,2.4,10.5K,1.04,,0.15,★★★★,68.5%,GameStop Corp Class A,NYSE,
GOOGL,106.44,0.00,0.00%,46.9,227K,1.11,,0.67,★★★★,43.0%,Alphabet Inc Class A,NASDAQ,Apr 25
GS,324.93,-0.03,-0.01%,36.7,5.94K,1.40,2.81%,0.57,★★★☆,33.4%,The Goldman Sachs Group Inc,NYSE,Apr 18
HD,291.21,0.04,0.01%,6.6,1.26K,0.92,2.58%,0.64,★★★☆,25.6%,The Home Depot Inc,NYSE,May 16
HOOD,9.98,0.00,0.00%,9.9,12.1K,1.09,,0.63,★★★★,64.1%,Robinhood Markets Inc Class A,NASDAQ,May 10
IBM,131.06,0.03,0.02%,44.9,7.42K,0.85,5.49%,0.45,★★★☆,29.4%,International Business Machines Corp,NYSE,Apr 19
INTA,45.11,0.00,0.00%,2.9,0,0.77,,0.41,★★☆☆,57.7%,Intapp Inc,NASDAQ,May 10
INTC,32.52,0.00,0.00%,48.5,116K,0.89,5.65%,0.56,★★★★,47.4%,Intel Corp,NASDAQ,Apr 27
IWM,175.81,0.06,0.03%,18.3,248K,1.17,1.43%,0.90,★★★★,25.5%,iShares Trust iShares Russell 2000 ETF,ARCX,
IYR,84.66,0.03,0.04%,20.3,181K,0.94,3.57%,0.80,★★★☆,23.4%,iShares Trust iShares U.S. Real Estate ETF,ARCX,
JD,39.97,0.00,0.00%,7.7,80.6K,0.39,,0.51,★★★★,52.1%,JD.com Inc ADR,NASDAQ,May 16
